STATION,DATE,REPORT_TYPE,SOURCE,HourlyDryBulbTemperature
72520094823,2020-02-07T16:51:00,FM-15,7,29
72520094823,2020-02-07T17:51:00,FM-15,7,28
72520094823,2020-02-07T18:51:00,FM-15,7,29
72520094823,2020-02-07T19:51:00,FM-15,7,27
72520094823,2020-02-07T20:51:00,FM-15,7,27
72520094823,2020-02-07T21:51:00,FM-15,7,27
72520094823,2020-02-07T22:51:00,FM-15,7,26
72520094823,2020-02-07T23:51:00,FM-15,7,25
72520094823,2020-02-08T00:51:00,FM-15,7,24
72520094823,2020-02-08T01:51:00,FM-15,7,25
72520094823,2020-02-08T02:51:00,FM-15,7,24
72520094823,2020-02-08T03:51:00,FM-15,7,24
72520094823,2020-02-08T04:51:00,FM-15,7,23
72520094823,2020-02-08T05:51:00,FM-15,7,23
72520094823,2020-02-08T06:51:00,FM-15,7,23
72520094823,2020-02-08T07:51:00,FM-15,7,24
72520094823,2020-02-08T08:51:00,FM-15,7,25
72520094823,2020-02-08T09:51:00,FM-15,7,27
72520094823,2020-02-08T10:51:00,FM-15,7,29
72520094823,2020-02-08T11:51:00,FM-15,7,32
72520094823,2020-02-08T12:51:00,FM-15,7,32
72520094823,2020-02-08T13:51:00,FM-15,7,32
72520094823,2020-02-08T14:51:00,FM-15,7,31
72520094823,2020-02-08T15:51:00,FM-15,7,30
72520094823,2020-02-08T16:51:00,FM-15,7,30
72520094823,2020-02-08T17:51:00,FM-15,7,29
72520094823,2020-02-08T18:51:00,FM-15,7,29
72520094823,2020-02-08T19:51:00,FM-15,7,29
72520094823,2020-02-08T20:51:00,FM-15,7,29
72520094823,2020-02-08T21:51:00,FM-15,7,30
72520094823,2020-02-08T22:51:00,FM-15,7,30
72520094823,2020-02-08T23:51:00,FM-15,7,30
72520094823,2020-02-09T00:51:00,FM-15,7,30
72520094823,2020-02-09T01:51:00,FM-15,7,30
72520094823,2020-02-09T02:51:00,FM-15,7,30
72520094823,2020-02-09T03:51:00,FM-15,7,30
72520094823,2020-02-09T04:51:00,FM-15,7,29
72520094823,2020-02-09T05:51:00,FM-15,7,29
72520094823,2020-02-09T06:51:00,FM-15,7,29
72520094823,2020-02-09T07:51:00,FM-15,7,29
72520094823,2020-02-09T08:51:00,FM-15,7,30
72520094823,2020-02-09T09:51:00,FM-15,7,31
72520094823,2020-02-09T10:51:00,FM-15,7,32
72520094823,2020-02-09T11:51:00,FM-15,7,34
72520094823,2020-02-09T12:51:00,FM-15,7,35
72520094823,2020-02-09T13:51:00,FM-15,7,35
72520094823,2020-02-09T14:51:00,FM-15,7,35
72520094823,2020-02-09T15:51:00,FM-15,7,35
72520094823,2020-02-09T16:51:00,FM-15,7,36
72520094823,2020-02-09T17:51:00,FM-15,7,35
72520094823,2020-02-09T18:51:00,FM-15,7,35
72520094823,2020-02-09T19:51:00,FM-15,7,34
72520094823,2020-02-09T20:51:00,FM-15,7,34
72520094823,2020-02-09T21:51:00,FM-15,7,36
72520094823,2020-02-09T22:51:00,FM-15,7,38
72520094823,2020-02-09T23:51:00,FM-15,7,40
72520094823,2020-02-10T00:51:00,FM-15,7,42
72520094823,2020-02-10T01:51:00,FM-15,7,41
72520094823,2020-02-10T02:51:00,FM-15,7,42
72520094823,2020-02-10T03:51:00,FM-15,7,42
72520094823,2020-02-10T04:51:00,FM-15,7,42
72520094823,2020-02-10T05:51:00,FM-15,7,42
72520094823,2020-02-10T06:51:00,FM-15,7,43
72520094823,2020-02-10T07:51:00,FM-15,7,43
72520094823,2020-02-10T08:51:00,FM-15,7,44
72520094823,2020-02-10T09:51:00,FM-15,7,45
72520094823,2020-02-10T10:51:00,FM-15,7,46
72520094823,2020-02-10T11:51:00,FM-15,7,47
72520094823,2020-02-10T12:51:00,FM-15,7,47
72520094823,2020-02-10T13:51:00,FM-15,7,47
72520094823,2020-02-10T14:51:00,FM-15,7,47
72520094823,2020-02-10T15:51:00,FM-15,7,42
72520094823,2020-02-10T16:51:00,FM-15,7,41
72520094823,2020-02-10T17:51:00,FM-15,7,40
72520094823,2020-02-10T18:51:00,FM-15,7,39
72520094823,2020-02-10T19:51:00,FM-15,7,39
72520094823,2020-02-10T20:51:00,FM-15,7,39
72520094823,2020-02-10T21:51:00,FM-15,7,39
72520094823,2020-02-10T22:51:00,FM-15,7,39
72520094823,2020-02-10T23:51:00,FM-15,7,39
72520094823,2020-02-11T00:51:00,FM-15,7,39
72520094823,2020-02-11T01:51:00,FM-15,7,38
72520094823,2020-02-11T02:51:00,FM-15,7,37
72520094823,2020-02-11T03:51:00,FM-15,7,36
72520094823,2020-02-11T04:51:00,FM-15,7,36
72520094823,2020-02-11T05:51:00,FM-15,7,34
72520094823,2020-02-11T06:51:00,FM-15,7,34
72520094823,2020-02-11T07:51:00,FM-15,7,33
72520094823,2020-02-11T08:51:00,FM-15,7,32
72520094823,2020-02-11T09:51:00,FM-15,7,33
72520094823,2020-02-11T10:51:00,FM-15,7,32
72520094823,2020-02-11T11:51:00,FM-15,7,34
72520094823,2020-02-11T12:51:00,FM-15,7,35
72520094823,2020-02-11T13:51:00,FM-15,7,35
72520094823,2020-02-11T14:51:00,FM-15,7,36
72520094823,2020-02-11T15:51:00,FM-15,7,36
72520094823,2020-02-11T16:51:00,FM-15,7,37
72520094823,2020-02-11T17:51:00,FM-15,7,36
72520094823,2020-02-11T18:51:00,FM-15,7,36
72520094823,2020-02-11T19:51:00,FM-15,7,35
72520094823,2020-02-11T20:51:00,FM-15,7,35
72520094823,2020-02-11T21:51:00,FM-15,7,35
72520094823,2020-02-11T22:51:00,FM-15,7,34
72520094823,2020-02-11T23:51:00,FM-15,7,34
72520094823,2020-02-12T00:51:00,FM-15,7,34
72520094823,2020-02-12T01:51:00,FM-15,7,33
72520094823,2020-02-12T02:51:00,FM-15,7,32
72520094823,2020-02-12T03:51:00,FM-15,7,30
72520094823,2020-02-12T04:51:00,FM-15,7,30
72520094823,2020-02-12T05:51:00,FM-15,7,27
72520094823,2020-02-12T06:51:00,FM-15,7,28
72520094823,2020-02-12T07:51:00,FM-15,7,26
72520094823,2020-02-12T08:51:00,FM-15,7,30
72520094823,2020-02-12T09:51:00,FM-15,7,31
72520094823,2020-02-12T10:51:00,FM-15,7,32
72520094823,2020-02-12T11:51:00,FM-15,7,33
72520094823,2020-02-12T12:51:00,FM-15,7,34
72520094823,2020-02-12T13:51:00,FM-15,7,35
72520094823,2020-02-12T14:51:00,FM-15,7,36
72520094823,2020-02-12T15:51:00,FM-15,7,36
72520094823,2020-02-12T16:51:00,FM-15,7,35
72520094823,2020-02-12T17:51:00,FM-15,7,32
72520094823,2020-02-12T18:51:00,FM-15,7,32
72520094823,2020-02-12T19:51:00,FM-15,7,32
72520094823,2020-02-12T20:51:00,FM-15,7,32
72520094823,2020-02-12T21:51:00,FM-15,7,32
72520094823,2020-02-12T22:51:00,FM-15,7,33
72520094823,2020-02-12T23:51:00,FM-15,7,34
72520094823,2020-02-13T00:51:00,FM-15,7,34
72520094823,2020-02-13T01:51:00,FM-15,7,33
72520094823,2020-02-13T02:51:00,FM-15,7,33
72520094823,2020-02-13T03:51:00,FM-15,7,33
72520094823,2020-02-13T04:51:00,FM-15,7,33
72520094823,2020-02-13T05:51:00,FM-15,7,33
72520094823,2020-02-13T06:51:00,FM-15,7,33
72520094823,2020-02-13T07:51:00,FM-15,7,33
72520094823,2020-02-13T08:51:00,FM-15,7,32
72520094823,2020-02-13T09:51:00,FM-15,7,32
72520094823,2020-02-13T10:51:00,FM-15,7,33
72520094823,2020-02-13T11:51:00,FM-15,7,34
72520094823,2020-02-13T12:51:00,FM-15,7,34
72520094823,2020-02-13T13:51:00,FM-15,7,33
72520094823,2020-02-13T14:51:00,FM-15,7,35
72520094823,2020-02-13T15:51:00,FM-15,7,34
72520094823,2020-02-13T16:51:00,FM-15,7,34
72520094823,2020-02-13T17:51:00,FM-15,7,33
72520094823,2020-02-13T18:51:00,FM-15,7,33
72520094823,2020-02-13T19:51:00,FM-15,7,34
72520094823,2020-02-13T20:51:00,FM-15,7,33
72520094823,2020-02-13T21:51:00,FM-15,7,30
